speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,subnational2Code,subnational2Name,subnational1Code,subnational1Name,countryCode,countryName,userDisplayName,obsId,checklistId,presenceNoted,hasComments,firstName,lastName,hasRichMedia,exoticCategory
amhgul1,American Herring Gull,Larus smithsonianus,L2987624,McGolrick Park,2024-01-01 10:38:00,,40.7245046,-73.9433616,True,False,False,S157715430,US-NY-047,Kings,US-NY,New York,US,United States,June Ap,OBS1912053412,CL23822,False,False,June,Ap,False,
dowwoo,Downy Woodpecker,Dryobates pubescens,L2987624,McGolrick Park,2024-01-01 10:38:00,,40.7245046,-73.9433616,True,False,False,S157715430,US-NY-047,Kings,US-NY,New York,US,United States,June Ap,OBS1912053414,CL23822,False,False,June,Ap,False,
norfli,Northern Flicker,Colaptes auratus,L2987624,McGolrick Park,2024-01-01 10:38:00,,40.7245046,-73.9433616,True,False,False,S157715430,US-NY-047,Kings,US-NY,New York,US,United States,June Ap,OBS1912053420,CL23822,False,False,June,Ap,False,
blujay,Blue Jay,Cyanocitta cristata,L2987624,McGolrick Park,2024-01-01 10:38:00,,40.7245046,-73.9433616,True,False,False,S157715430,US-NY-047,Kings,US-NY,New York,US,United States,June Ap,OBS1912053411,CL23822,False,False,June,Ap,False,
normoc,Northern Mockingbird,Mimus polyglottos,L2987624,McGolrick Park,2024-01-01 10:38:00,,40.7245046,-73.9433616,True,False,False,S157715430,US-NY-047,Kings,US-NY,New York,US,United States,June Ap,OBS1912053413,CL23822,False,False,June,Ap,False,
houspa,House Sparrow,Passer domesticus,L2987624,McGolrick Park,2024-01-01 10:38:00,,40.7245046,-73.9433616,True,False,False,S157715430,US-NY-047,Kings,US-NY,New York,US,United States,June Ap,OBS1912053416,CL23822,False,False,June,Ap,False,N
whtspa,White-throated Sparrow,Zonotrichia albicollis,L2987624,McGolrick Park,2024-01-01 10:38:00,,40.7245046,-73.9433616,True,False,False,S157715430,US-NY-047,Kings,US-NY,New York,US,United States,June Ap,OBS1912053415,CL23822,False,False,June,Ap,False,
rocpig,Rock Pigeon,Columba livia,L2987624,McGolrick Park,2024-01-01 10:31:00,,40.7245046,-73.9433616,True,False,False,S157710776,US-NY-047,Kings,US-NY,New York,US,United States,Jeremy Danneman,OBS1912008867,CL23822,True,False,Jeremy,Danneman,False,N
moudov,Mourning Dove,Zenaida macroura,L2987624,McGolrick Park,2024-01-01 10:31:00,,40.7245046,-73.9433616,True,False,False,S157710776,US-NY-047,Kings,US-NY,New York,US,United States,Jeremy Danneman,OBS1912008866,CL23822,True,False,Jeremy,Danneman,False,
eursta,European Starling,Sturnus vulgaris,L2987624,McGolrick Park,2024-01-01 10:31:00,,40.7245046,-73.9433616,True,False,False,S157710776,US-NY-047,Kings,US-NY,New York,US,United States,Jeremy Danneman,OBS1912008869,CL23822,True,False,Jeremy,Danneman,False,N
amerob,American Robin,Turdus migratorius,L2987624,McGolrick Park,2024-01-01 10:31:00,,40.7245046,-73.9433616,True,False,False,S157710776,US-NY-047,Kings,US-NY,New York,US,United States,Jeremy Danneman,OBS1912008870,CL23822,True,False,Jeremy,Danneman,False,
rebwoo,Red-bellied Woodpecker,Melanerpes carolinus,L2987624,McGolrick Park,2024-01-01 10:14:00,,40.7245046,-73.9433616,True,False,False,S157703937,US-NY-047,Kings,US-NY,New York,US,United States,Christopher Chilton,OBS1911950844,CL23822,False,False,Christopher,Chilton,False,
rebwoo,Red-bellied Woodpecker,Melanerpes carolinus,L2987624,McGolrick Park,2024-01-02 12:56:00,,40.7245046,-73.9433616,True,False,False,S157862398,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1913548865,CL23822,False,False,Greg,Thornberg,False,
rocpig,Rock Pigeon,Columba livia,L2987624,McGolrick Park,2024-01-02 08:44:00,,40.7245046,-73.9433616,True,False,False,S157838084,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1913303214,CL23822,False,False,Michael,Lombardo,False,N
moudov,Mourning Dove,Zenaida macroura,L2987624,McGolrick Park,2024-01-02 08:44:00,,40.7245046,-73.9433616,True,False,False,S157838084,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1913303219,CL23822,False,False,Michael,Lombardo,False,
norfli,Northern Flicker,Colaptes auratus,L2987624,McGolrick Park,2024-01-02 08:44:00,,40.7245046,-73.9433616,True,False,False,S157838084,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1913303220,CL23822,False,False,Michael,Lombardo,False,
eursta,European Starling,Sturnus vulgaris,L2987624,McGolrick Park,2024-01-02 08:44:00,,40.7245046,-73.9433616,True,False,False,S157838084,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1913303218,CL23822,False,False,Michael,Lombardo,False,N
normoc,Northern Mockingbird,Mimus polyglottos,L2987624,McGolrick Park,2024-01-02 08:44:00,,40.7245046,-73.9433616,True,False,False,S157838084,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1913303215,CL23822,False,False,Michael,Lombardo,False,
amerob,American Robin,Turdus migratorius,L2987624,McGolrick Park,2024-01-02 08:44:00,,40.7245046,-73.9433616,True,False,False,S157838084,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1913303217,CL23822,False,False,Michael,Lombardo,False,
houspa,House Sparrow,Passer domesticus,L2987624,McGolrick Park,2024-01-02 08:44:00,,40.7245046,-73.9433616,True,False,False,S157838084,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1913303216,CL23822,False,False,Michael,Lombardo,False,N
whtspa,White-throated Sparrow,Zonotrichia albicollis,L2987624,McGolrick Park,2024-01-02 08:44:00,,40.7245046,-73.9433616,True,False,False,S157838084,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1913303213,CL23822,False,False,Michael,Lombardo,False,
rethaw,Red-tailed Hawk,Buteo jamaicensis,L2987624,McGolrick Park,2024-01-03 11:32:00,,40.7245046,-73.9433616,True,False,False,S157947368,US-NY-047,Kings,US-NY,New York,US,United States,Jeremy Danneman,OBS1914453493,CL23822,False,False,Jeremy,Danneman,False,
moudov,Mourning Dove,Zenaida macroura,L2987624,McGolrick Park,2024-01-03 09:17:00,,40.7245046,-73.9433616,True,False,False,S157937002,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1914348809,CL23822,False,False,Michael,Lombardo,False,
rebwoo,Red-bellied Woodpecker,Melanerpes carolinus,L2987624,McGolrick Park,2024-01-03 09:17:00,,40.7245046,-73.9433616,True,False,False,S157937002,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1914348807,CL23822,False,False,Michael,Lombardo,False,
dowwoo,Downy Woodpecker,Dryobates pubescens,L2987624,McGolrick Park,2024-01-03 09:17:00,,40.7245046,-73.9433616,True,False,False,S157937002,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1914348800,CL23822,False,False,Michael,Lombardo,False,
amecro,American Crow,Corvus brachyrhynchos,L2987624,McGolrick Park,2024-01-03 09:17:00,,40.7245046,-73.9433616,True,False,False,S157937002,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1914348806,CL23822,False,False,Michael,Lombardo,False,
normoc,Northern Mockingbird,Mimus polyglottos,L2987624,McGolrick Park,2024-01-03 09:17:00,,40.7245046,-73.9433616,True,False,False,S157937002,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1914348808,CL23822,False,False,Michael,Lombardo,False,
whtspa,White-throated Sparrow,Zonotrichia albicollis,L2987624,McGolrick Park,2024-01-03 09:17:00,,40.7245046,-73.9433616,True,False,False,S157937002,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1914348803,CL23822,False,False,Michael,Lombardo,False,
rocpig,Rock Pigeon,Columba livia,L2987624,McGolrick Park,2024-01-03 08:32:00,,40.7245046,-73.9433616,True,False,False,S157930426,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1914289570,CL23822,True,False,Greg,Thornberg,False,N
eursta,European Starling,Sturnus vulgaris,L2987624,McGolrick Park,2024-01-03 08:32:00,,40.7245046,-73.9433616,True,False,False,S157930426,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1914289572,CL23822,True,False,Greg,Thornberg,False,N
amerob,American Robin,Turdus migratorius,L2987624,McGolrick Park,2024-01-03 08:32:00,,40.7245046,-73.9433616,True,False,False,S157930426,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1914289573,CL23822,False,False,Greg,Thornberg,False,
