common_name,species_code,family,species_group,total_appearances,total_appearances_rank
European Starling,eursta,Sturnidae (Starlings),Starlings and Mynas,1386,1
Rock Pigeon,rocpig,Columbidae (Pigeons and Doves),Pigeons and Doves,1381,2
House Sparrow,houspa,Passeridae (Old World Sparrows),Old World Sparrows,1354,3
American Robin,amerob,Turdidae (Thrushes and Allies),Thrushes,1200,4
Mourning Dove,moudov,Columbidae (Pigeons and Doves),Pigeons and Doves,976,5
Common Grackle,comgra,Icteridae (Troupials and Allies),Blackbirds,733,6
White-throated Sparrow,whtspa,Passerellidae (New World Sparrows),New World Sparrows,701,7
Blue Jay,blujay,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",671,8
Red-bellied Woodpecker,rebwoo,Picidae (Woodpeckers),Woodpeckers,612,9
Downy Woodpecker,dowwoo,Picidae (Woodpeckers),Woodpeckers,589,10
American Crow,amecro,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",525,11
Northern Flicker,norfli,Picidae (Woodpeckers),Woodpeckers,422,12
Laughing Gull,laugul,"Laridae (Gulls, Terns, and Skimmers)","Gulls, Terns, and Skimmers",386,13
Yellow-bellied Sapsucker,yebsap,Picidae (Woodpeckers),Woodpeckers,379,14
Black-and-white Warbler,bawwar,Parulidae (New World Warblers),Wood-Warblers,360,15
Northern Cardinal,norcar,Cardinalidae (Cardinals and Allies),"Cardinals, Grosbeaks, and Allies",359,16
Ovenbird,ovenbi1,Parulidae (New World Warblers),Wood-Warblers,343,17
American Redstart,amered,Parulidae (New World Warblers),Wood-Warblers,325,18
Hermit Thrush,herthr,Turdidae (Thrushes and Allies),Thrushes,267,19
Ruby-crowned Kinglet,ruckin,Regulidae (Kinglets),Kinglets,246,20
Northern Parula,norpar,Parulidae (New World Warblers),Wood-Warblers,227,21
Gray Catbird,grycat,Mimidae (Mockingbirds and Thrashers),"Catbirds, Mockingbirds, and Thrashers",208,22
Chimney Swift,chiswi,Apodidae (Swifts),Swifts,204,23
Tufted Titmouse,tuftit,"Paridae (Tits, Chickadees, and Titmice)","Tits, Chickadees, and Titmice",197,24
Red-tailed Hawk,rethaw,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",178,25
Eastern Wood-Pewee,eawpew,Tyrannidae (Tyrant Flycatchers),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",176,26
Common Yellowthroat,comyel,Parulidae (New World Warblers),Wood-Warblers,176,27
